MUN,muni,Población,Región
1,Abasolo,2974.00,p
2,Agualeguas,3382.00,n
3,Los Aldamas,1407.00,o
4,Allende,35289.00,c
5,Anáhuac,18030.00,n
6,Apodaca,656464.00,z
7,Aramberri,14992.00,s
8,Bustamante,3661.00,n
9,Cadereyta Jiménez,122337.00,p
10,El Carmen,104478.00,p
11,Cerralvo,7340.00,o
12,Ciénega de Flores,68747.00,p
13,China,9930.00,o
14,Doctor Arroyo,36088.00,s
15,Doctor Coss,1360.00,o
16,Doctor González,3256.00,p
17,Galeana,40903.00,s
18,García,397205.00,z
19,San Pedro Garza García,132169.00,z
20,General Bravo,5506.00,o
21,General Escobedo,481213.00,z
22,General Terán,14109.00,c
23,General Treviño,1808.00,o
24,General Zaragoza,6282.00,s
25,General Zuazua,102149.00,p
26,Guadalupe,643143.00,z
27,Los Herreras,1959.00,o
28,Higueras,1386.00,p
29,Hualahuises,7026.00,c
30,Iturbide,3298.00,s
31,Juárez,471523.00,z
32,Lampazos de Naranjo,5351.00,n
33,Linares,84666.00,c
34,Marín,5119.00,p
35,Melchor Ocampo,1483.00,o
36,Mier y Noriega,7652.00,s
37,Mina,6048.00,p
38,Montemorelos,67428.00,c
39,Monterrey,1142994.00,z
40,Parás,906.00,n
41,Pesquería,147624.00,p
42,Los Ramones,5389.00,o
43,Rayones,2377.00,s
44,Sabinas Hidalgo,34709.00,n
45,Salinas Victoria,86766.00,p
46,San Nicolás de los Garza,412199.00,z
47,Hidalgo,16086.00,p
48,Santa Catarina,306322.00,z
49,Santiago,46784.00,p
50,Vallecillo,1552.00,n
51,Villaldama,3573.00,n
